model,language,category,condition,phase1_n,phase1_acc,phase1_lo,phase1_hi,phase2b_n,phase2b_acc,phase2b_lo,phase2b_hi,diff_phase2b_minus_phase1,diff_lo,diff_hi,consistent
E5-large,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.023809523809523808,0.0,0.05952380952380952,0.023809523809523808,0.0,0.05952380952380952,True
E5-large,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.09523809523809523,0.03571428571428571,0.16666666666666666,0.011904761904761904,-0.17857142857142858,0.14285714285714285,True
E5-large,hindi,kinship_paternal_maternal,english_pivot,13,0.07692307692307693,0.0,0.23076923076923078,96,0.0,0.0,0.0,-0.07692307692307693,-0.23076923076923078,0.0,True
E5-large,hindi,kinship_paternal_maternal,native,13,1.0,1.0,1.0,96,0.8854166666666666,0.8229166666666666,0.9479166666666666,-0.11458333333333337,-0.17708333333333337,-0.05208333333333337,False
E5-large,hindi,kinship_relative_age,english_pivot,12,0.9166666666666666,0.75,1.0,87,0.7701149425287356,0.6781609195402298,0.8620689655172413,-0.14655172413793105,-0.29885057471264365,0.054597701149425304,True
E5-large,hindi,kinship_relative_age,native,12,1.0,1.0,1.0,87,0.8620689655172413,0.7816091954022989,0.9310344827586207,-0.13793103448275867,-0.2183908045977011,-0.06896551724137934,False
E5-large,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-large,spanish,formality,native,17,0.47058823529411764,0.23529411764705882,0.7058823529411765,62,0.3548387096774194,0.24193548387096775,0.46774193548387094,-0.11574952561669827,-0.3833017077798862,0.15180265654648956,True
E5-large,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-large,spanish,gender_agreement_adjectives,native,16,0.625,0.375,0.875,87,0.4367816091954023,0.3333333333333333,0.5402298850574713,-0.18821839080459768,-0.444683908045977,0.0783405172413788,True
E5-large,spanish,ser_vs_estar,english_pivot,17,0.17647058823529413,0.0,0.35294117647058826,95,0.29473684210526313,0.21052631578947367,0.3894736842105263,0.118266253869969,-0.09597523219814241,0.30526315789473685,True
E5-large,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.031578947368421054,0.0,0.07368421052631578,0.031578947368421054,0.0,0.07368421052631578,True
E5-multi,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.023809523809523808,0.0,0.05952380952380952,0.023809523809523808,0.0,0.05952380952380952,True
E5-multi,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.03571428571428571,0.0,0.08333333333333333,-0.047619047619047616,-0.2261904761904762,0.07142857142857142,True
E5-multi,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-multi,hindi,kinship_paternal_maternal,native,13,1.0,1.0,1.0,96,0.8854166666666666,0.8229166666666666,0.9479166666666666,-0.11458333333333337,-0.1773437499999998,-0.05208333333333337,False
E5-multi,hindi,kinship_relative_age,english_pivot,12,0.9166666666666666,0.75,1.0,87,0.7471264367816092,0.6551724137931034,0.8390804597701149,-0.16954022988505746,-0.32183908045977017,0.034482758620689724,True
E5-multi,hindi,kinship_relative_age,native,12,0.9166666666666666,0.75,1.0,87,0.7701149425287356,0.6781609195402298,0.8505747126436781,-0.14655172413793105,-0.29885057471264365,0.054597701149425304,True
E5-multi,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.0,0.04838709677419355,True
E5-multi,spanish,formality,native,17,0.23529411764705882,0.058823529411764705,0.47058823529411764,62,0.24193548387096775,0.14516129032258066,0.3548387096774194,0.006641366223908929,-0.23434535104364324,0.22580645161290322,True
E5-multi,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
E5-multi,spanish,gender_agreement_adjectives,native,16,0.4375,0.1875,0.6875,87,0.2988505747126437,0.20689655172413793,0.39080459770114945,-0.1386494252873563,-0.40014367816091956,0.1228448275862069,True
E5-multi,spanish,ser_vs_estar,english_pivot,17,0.11764705882352941,0.0,0.29411764705882354,95,0.2631578947368421,0.17894736842105263,0.35789473684210527,0.14551083591331268,-0.04148606811145511,0.30526315789473685,True
E5-multi,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.021052631578947368,0.0,0.05263157894736842,0.021052631578947368,0.0,0.05263157894736842,True
LaBSE,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.023809523809523808,0.0,0.05952380952380952,0.023809523809523808,0.0,0.05952380952380952,True
LaBSE,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.03571428571428571,0.0,0.08333333333333333,-0.047619047619047616,-0.2261904761904762,0.07142857142857142,True
LaBSE,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
LaBSE,hindi,kinship_paternal_maternal,native,13,1.0,1.0,1.0,96,0.8333333333333334,0.7604166666666666,0.90625,-0.16666666666666663,-0.23958333333333337,-0.09375,False
LaBSE,hindi,kinship_relative_age,english_pivot,12,1.0,1.0,1.0,87,0.6551724137931034,0.5517241379310345,0.7586206896551724,-0.3448275862068966,-0.4482758620689655,-0.2525862068965559,False
LaBSE,hindi,kinship_relative_age,native,12,0.9166666666666666,0.75,1.0,87,0.8045977011494253,0.7241379310344828,0.8850574712643678,-0.11206896551724133,-0.26436781609195403,0.08908045977011492,True
LaBSE,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.0,0.04838709677419355,True
LaBSE,spanish,formality,native,17,0.47058823529411764,0.23529411764705882,0.7058823529411765,62,0.1935483870967742,0.0967741935483871,0.2903225806451613,-0.27703984819734345,-0.5388994307400379,-0.019924098671726787,False
LaBSE,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
LaBSE,spanish,gender_agreement_adjectives,native,16,0.1875,0.0,0.375,87,0.25287356321839083,0.16091954022988506,0.3448275862068966,0.06537356321839083,-0.16163793103448276,0.26436781609195403,True
LaBSE,spanish,ser_vs_estar,english_pivot,17,0.058823529411764705,0.0,0.17647058823529413,95,0.21052631578947367,0.1368421052631579,0.29473684210526313,0.15170278637770895,0.0024767801857585037,0.2736842105263158,False
LaBSE,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.010526315789473684,0.0,0.031578947368421054,0.010526315789473684,0.0,0.031578947368421054,True
MiniLM-en,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-en,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-en,hindi,kinship_relative_age,english_pivot,12,0.75,0.5,1.0,87,0.45977011494252873,0.3563218390804598,0.5632183908045977,-0.29022988505747127,-0.5373563218390804,-0.017241379310344807,False
MiniLM-en,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-en,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-en,spanish,ser_vs_estar,english_pivot,17,0.17647058823529413,0.0,0.35294117647058826,95,0.3263157894736842,0.23157894736842105,0.42105263157894735,0.1498452012383901,-0.06873065015479879,0.3368421052631579,True
MiniLM-multi,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.011904761904761904,0.0,0.03571428571428571,0.011904761904761904,0.0,0.03571428571428571,True
MiniLM-multi,hindi,formality_tv,native,12,0.08333333333333333,0.0,0.25,84,0.047619047619047616,0.011904761904761904,0.09523809523809523,-0.03571428571428571,-0.2261904761904762,0.08333333333333333,True
MiniLM-multi,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-multi,hindi,kinship_paternal_maternal,native,13,0.6153846153846154,0.38461538461538464,0.8461538461538461,96,0.46875,0.3645833333333333,0.5625,-0.14663461538461542,-0.42313701923076924,0.14022435897435898,True
MiniLM-multi,hindi,kinship_relative_age,english_pivot,12,0.75,0.5,1.0,87,0.5632183908045977,0.45977011494252873,0.6666666666666666,-0.18678160919540232,-0.43390804597701144,0.09482758620689646,True
MiniLM-multi,hindi,kinship_relative_age,native,12,0.9166666666666666,0.75,1.0,87,0.6896551724137931,0.5862068965517241,0.7816091954022989,-0.22701149425287348,-0.3793103448275862,-0.025862068965517238,False
MiniLM-multi,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-multi,spanish,formality,native,17,0.47058823529411764,0.23529411764705882,0.7058823529411765,62,0.16129032258064516,0.08064516129032258,0.25806451612903225,-0.3092979127134725,-0.5608633776091081,-0.05218216318785579,False
MiniLM-multi,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
MiniLM-multi,spanish,gender_agreement_adjectives,native,16,0.1875,0.0,0.375,87,0.2413793103448276,0.14942528735632185,0.3333333333333333,0.0538793103448276,-0.17456896551724138,0.2478448275862069,True
MiniLM-multi,spanish,ser_vs_estar,english_pivot,17,0.17647058823529413,0.0,0.35294117647058826,95,0.30526315789473685,0.22105263157894736,0.4,0.12879256965944272,-0.08978328173374617,0.3157894736842105,True
MiniLM-multi,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.010526315789473684,0.0,0.031578947368421054,0.010526315789473684,0.0,0.031578947368421054,True
TF-IDF,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,True
TF-IDF,hindi,formality_tv,native,12,0.6666666666666666,0.4166666666666667,0.9166666666666666,84,0.2261904761904762,0.14285714285714285,0.32142857142857145,-0.44047619047619047,-0.7023809523809524,-0.14285714285714285,False
TF-IDF,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.020833333333333332,0.0,0.052083333333333336,0.020833333333333332,0.0,0.052083333333333336,True
TF-IDF,hindi,kinship_paternal_maternal,native,13,0.23076923076923078,0.0,0.46153846153846156,96,0.17708333333333334,0.10416666666666667,0.25,-0.05368589743589744,-0.3157051282051282,0.16666666666666666,True
TF-IDF,hindi,kinship_relative_age,english_pivot,12,0.5,0.25,0.75,87,0.3333333333333333,0.2413793103448276,0.4367816091954023,-0.16666666666666669,-0.46264367816091956,0.1293103448275862,True
TF-IDF,hindi,kinship_relative_age,native,12,0.08333333333333333,0.0,0.25,87,0.022988505747126436,0.0,0.05747126436781609,-0.06034482758620689,-0.2385057471264368,0.04597701149425287,True
TF-IDF,spanish,formality,english_pivot,17,0.058823529411764705,0.0,0.17647058823529413,62,0.04838709677419355,0.0,0.11290322580645161,-0.010436432637571158,-0.1603415559772296,0.0967741935483871,True
TF-IDF,spanish,formality,native,17,0.23529411764705882,0.058823529411764705,0.47058823529411764,62,0.22580645161290322,0.12903225806451613,0.3387096774193548,-0.0094876660341556,-0.2504743833017078,0.2049335863377609,True
TF-IDF,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
TF-IDF,spanish,gender_agreement_adjectives,native,16,0.1875,0.0,0.375,87,0.05747126436781609,0.011494252873563218,0.11494252873563218,-0.13002873563218392,-0.34554597701149425,0.04597701149425287,True
TF-IDF,spanish,ser_vs_estar,english_pivot,17,0.17647058823529413,0.0,0.35294117647058826,95,0.3157894736842105,0.22105263157894736,0.4105263157894737,0.13931888544891638,-0.07925696594427245,0.3263157894736842,True
TF-IDF,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.06315789473684211,0.021052631578947368,0.11578947368421053,0.06315789473684211,0.021052631578947368,0.11578947368421053,False
bge-m3,hindi,formality_tv,english_pivot,12,0.0,0.0,0.0,84,0.011904761904761904,0.0,0.03571428571428571,0.011904761904761904,0.0,0.03571428571428571,True
bge-m3,hindi,formality_tv,native,12,0.25,0.0,0.5,84,0.11904761904761904,0.05952380952380952,0.19047619047619047,-0.13095238095238096,-0.40476190476190477,0.10714285714285714,True
bge-m3,hindi,kinship_paternal_maternal,english_pivot,13,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,True
bge-m3,hindi,kinship_paternal_maternal,native,13,1.0,1.0,1.0,96,0.9583333333333334,0.9166666666666666,0.9895833333333334,-0.04166666666666663,-0.08333333333333337,-0.01041666666666663,False
bge-m3,hindi,kinship_relative_age,english_pivot,12,1.0,1.0,1.0,87,0.7241379310344828,0.632183908045977,0.8160919540229885,-0.27586206896551724,-0.367816091954023,-0.1839080459770115,False
bge-m3,hindi,kinship_relative_age,native,12,1.0,1.0,1.0,87,0.8620689655172413,0.7816091954022989,0.9310344827586207,-0.13793103448275867,-0.2183908045977011,-0.06896551724137934,False
bge-m3,spanish,formality,english_pivot,17,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,True
bge-m3,spanish,formality,native,17,0.5882352941176471,0.35294117647058826,0.8235294117647058,62,0.3225806451612903,0.20967741935483872,0.43548387096774194,-0.26565464895635676,-0.5227703984819734,0.0018975332068311146,True
bge-m3,spanish,gender_agreement_adjectives,english_pivot,16,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,0.0,True
bge-m3,spanish,gender_agreement_adjectives,native,16,0.8125,0.625,1.0,87,0.8390804597701149,0.7586206896551724,0.9080459770114943,0.026580459770114917,-0.16091954022988508,0.24856321839080464,True
bge-m3,spanish,ser_vs_estar,english_pivot,17,0.17647058823529413,0.0,0.35294117647058826,95,0.2736842105263158,0.18947368421052632,0.3684210526315789,0.09721362229102168,-0.12136222910216721,0.28421052631578947,True
bge-m3,spanish,ser_vs_estar,native,17,0.0,0.0,0.0,95,0.06315789473684211,0.021052631578947368,0.11578947368421053,0.06315789473684211,0.021052631578947368,0.11578947368421053,False
