model,condition,language,category,triplet_accuracy,triplet_accuracy_lo,triplet_accuracy_hi,mean_cosine_gap,mean_cosine_gap_lo,mean_cosine_gap_hi,n_items
E5-large,english_pivot,hindi,formality_tv,0.020833333333333332,0.0,0.052083333333333336,-0.029963572199145954,-0.036191803077235817,-0.022749042417854075,96
E5-large,english_pivot,hindi,kinship_paternal_maternal,0.009174311926605505,0.0,0.027522935779816515,-0.014909690673198176,-0.01717134459849891,-0.012660713616861117,109
E5-large,english_pivot,hindi,kinship_relative_age,0.7878787878787878,0.7070707070707071,0.8585858585858586,0.013026625219017568,0.010561914245287577,0.015312687300070368,99
E5-large,english_pivot,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.01242068180671105,-0.03444857780749982,0.013490712184172398,13
E5-large,english_pivot,spanish,formality,0.0,0.0,0.0,-0.019014493574070025,-0.02352774148877663,-0.014824981761129598,79
E5-large,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.03978896141052246,-0.04415601850713341,-0.03545229241107274,103
E5-large,english_pivot,spanish,ser_vs_estar,0.2767857142857143,0.19642857142857142,0.35714285714285715,0.002634337970188686,-0.004564772360026836,0.010372568201273677,112
E5-large,native,hindi,formality_tv,0.09375,0.041666666666666664,0.15625,-0.014348659043510755,-0.017434832748646538,-0.011510088977714382,96
E5-large,native,hindi,kinship_paternal_maternal,0.8990825688073395,0.8440366972477065,0.9541284403669725,0.01523100564239222,0.012918880595526564,0.01749145793258597,109
E5-large,native,hindi,kinship_relative_age,0.8787878787878788,0.8080808080808081,0.9393939393939394,0.007785721860750757,0.006378870675660143,0.009010716535226263,99
E5-large,native,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.008616644602555495,-0.013011740491940425,-0.004454640585642595,13
E5-large,native,spanish,formality,0.379746835443038,0.27848101265822783,0.4936708860759494,-0.004425115223172345,-0.008916828507864022,0.0001147584636000133,79
E5-large,native,spanish,gender_agreement_adjectives,0.46601941747572817,0.36893203883495146,0.5631067961165048,-0.003590248163464,-0.007225345914224976,8.513334306697689e-05,103
E5-large,native,spanish,ser_vs_estar,0.026785714285714284,0.0,0.0625,-0.013680856674909592,-0.01611953979091985,-0.010811543211873092,112
E5-multi,english_pivot,hindi,formality_tv,0.020833333333333332,0.0,0.052083333333333336,-0.036819977685809135,-0.04179072029267748,-0.03187541688481967,96
E5-multi,english_pivot,hindi,kinship_paternal_maternal,0.0,0.0,0.0,-0.01760762929916382,-0.020326160290919312,-0.015118562628369813,109
E5-multi,english_pivot,hindi,kinship_relative_age,0.7676767676767676,0.6767676767676768,0.8484848484848485,0.010222308563463615,0.00786181248799719,0.012485934673535704,99
E5-multi,english_pivot,hindi,verb_gender_agreement,0.0,0.0,0.0,-0.024828709088839017,-0.038773017663222095,-0.012846447183535652,13
E5-multi,english_pivot,spanish,formality,0.012658227848101266,0.0,0.0379746835443038,-0.023569057259378554,-0.028973533967627755,-0.01871301443139209,79
E5-multi,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.04561501336329191,-0.05008082752956927,-0.04127949266468438,103
E5-multi,english_pivot,spanish,ser_vs_estar,0.24107142857142858,0.16964285714285715,0.32142857142857145,-0.0013568481164319174,-0.006683424607451473,0.004505907358335594,112
E5-multi,native,hindi,formality_tv,0.041666666666666664,0.010416666666666666,0.08333333333333333,-0.023550178855657578,-0.027424737655868132,-0.019778562368204196,96
E5-multi,native,hindi,kinship_paternal_maternal,0.8990825688073395,0.8348623853211009,0.9541284403669725,0.020345811450153316,0.017612642555608665,0.023024989363797217,109
E5-multi,native,hindi,kinship_relative_age,0.7878787878787878,0.7070707070707071,0.8686868686868687,0.007981573692475907,0.005794518824779627,0.01000298461829773,99
E5-multi,native,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.00968016110933744,-0.018402305933145378,-0.0008691019736803496,13
E5-multi,native,spanish,formality,0.24050632911392406,0.1518987341772152,0.34177215189873417,-0.01810679330101496,-0.02455766676347467,-0.011684775295891348,79
E5-multi,native,spanish,gender_agreement_adjectives,0.32038834951456313,0.23300970873786409,0.4077669902912621,-0.01043817892815303,-0.01501613920464099,-0.005684585276159269,103
E5-multi,native,spanish,ser_vs_estar,0.017857142857142856,0.0,0.044642857142857144,-0.013705835810729436,-0.015765946903931242,-0.01125576701015234,112
LaBSE,english_pivot,hindi,formality_tv,0.020833333333333332,0.0,0.052083333333333336,-0.08622925681993365,-0.10787030804591874,-0.05974656386921804,96
LaBSE,english_pivot,hindi,kinship_paternal_maternal,0.0,0.0,0.0,-0.04886319002973924,-0.057228484503719784,-0.041298105765920176,109
LaBSE,english_pivot,hindi,kinship_relative_age,0.696969696969697,0.6060606060606061,0.7878787878787878,0.022924024649340697,0.015199222317849747,0.030257222041337174,99
LaBSE,english_pivot,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.0027112318919255184,-0.07969246369141798,0.10822443549449623,13
LaBSE,english_pivot,spanish,formality,0.012658227848101266,0.0,0.0379746835443038,-0.06567475916464117,-0.08162095286423647,-0.0506232899012445,79
LaBSE,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.08709146212605597,-0.09997560918620489,-0.07538732287374515,103
LaBSE,english_pivot,spanish,ser_vs_estar,0.1875,0.125,0.25892857142857145,-0.06204318521278245,-0.08172857939664806,-0.03987680556518691,112
LaBSE,native,hindi,formality_tv,0.041666666666666664,0.010416666666666666,0.08333333333333333,-0.06409125030040741,-0.07684123961565395,-0.05174792120233179,96
LaBSE,native,hindi,kinship_paternal_maternal,0.8532110091743119,0.7889908256880734,0.9174311926605505,0.0483556422618551,0.03986012595235754,0.05684245625220307,109
LaBSE,native,hindi,kinship_relative_age,0.8181818181818182,0.7373737373737373,0.8888888888888888,0.017254149672960996,0.010465239289433066,0.02315324722516416,99
LaBSE,native,hindi,verb_gender_agreement,0.0,0.0,0.0,-0.032725201203272894,-0.05109605594323231,-0.01692981215623709,13
LaBSE,native,spanish,formality,0.25316455696202533,0.16455696202531644,0.35443037974683544,-0.03438660087464731,-0.04810552734740173,-0.021001698114449473,79
LaBSE,native,spanish,gender_agreement_adjectives,0.24271844660194175,0.1650485436893204,0.3300970873786408,-0.03406997213085878,-0.045760019051218494,-0.022906956655307883,103
LaBSE,native,spanish,ser_vs_estar,0.008928571428571428,0.0,0.026785714285714284,-0.08710151804344994,-0.0948429814938988,-0.07825729765796238,112
MiniLM-en,english_pivot,hindi,formality_tv,0.0,0.0,0.0,-0.2027650410309434,-0.23320322136860341,-0.1739357263315469,96
MiniLM-en,english_pivot,hindi,kinship_paternal_maternal,0.0,0.0,0.0,-0.10440967717301955,-0.12184949488541402,-0.08767305050694615,109
MiniLM-en,english_pivot,hindi,kinship_relative_age,0.494949494949495,0.3939393939393939,0.5959595959595959,-0.0029641094833913477,-0.016940116596342338,0.009804420353788316,99
MiniLM-en,english_pivot,hindi,verb_gender_agreement,0.0,0.0,0.0,-0.14218823267863348,-0.21493559789199096,-0.073043009868035,13
MiniLM-en,english_pivot,spanish,formality,0.0,0.0,0.0,-0.13279939678650868,-0.1673258021662507,-0.10239834598725356,79
MiniLM-en,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.18100193808379683,-0.19872730449565404,-0.1644287356329196,103
MiniLM-en,english_pivot,spanish,ser_vs_estar,0.30357142857142855,0.22321428571428573,0.39285714285714285,0.029564000133957182,0.0065046137065759724,0.05337480435680064,112
MiniLM-multi,english_pivot,hindi,formality_tv,0.010416666666666666,0.0,0.03125,-0.1438454675177733,-0.16806703233160078,-0.12107352896903953,96
MiniLM-multi,english_pivot,hindi,kinship_paternal_maternal,0.0,0.0,0.0,-0.07491462493161542,-0.08846060178422054,-0.06244951858433016,109
MiniLM-multi,english_pivot,hindi,kinship_relative_age,0.5858585858585859,0.48484848484848486,0.6868686868686869,0.007506963580545753,-0.0025908879408932696,0.016503972808519996,99
MiniLM-multi,english_pivot,hindi,verb_gender_agreement,0.0,0.0,0.0,-0.09320899156423715,-0.15236016855790066,-0.04069492656451007,13
MiniLM-multi,english_pivot,spanish,formality,0.0,0.0,0.0,-0.08765961399561242,-0.11042987257242202,-0.0669046006625212,79
MiniLM-multi,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.15017340136963186,-0.17054748896834918,-0.13036846817986478,103
MiniLM-multi,english_pivot,spanish,ser_vs_estar,0.2857142857142857,0.20535714285714285,0.375,0.021929202335221425,-0.0018228406219610144,0.04705546076542564,112
MiniLM-multi,native,hindi,formality_tv,0.052083333333333336,0.010416666666666666,0.10416666666666667,-0.09274499056239922,-0.11337991771288215,-0.0731689912887911,96
MiniLM-multi,native,hindi,kinship_paternal_maternal,0.48623853211009177,0.3853211009174312,0.5779816513761468,-0.007073455994282294,-0.024028128262506714,0.008710246102525548,109
MiniLM-multi,native,hindi,kinship_relative_age,0.7171717171717171,0.6262626262626263,0.8080808080808081,0.0052520987963435625,-0.006578026621630696,0.015281385123127638,99
MiniLM-multi,native,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.049214647366450384,-0.08682070959072846,-0.01708314327093273,13
MiniLM-multi,native,spanish,formality,0.22784810126582278,0.13924050632911392,0.31645569620253167,-0.04035312239127823,-0.061824033814895,-0.019966371470614336,79
MiniLM-multi,native,spanish,gender_agreement_adjectives,0.23300970873786409,0.1553398058252427,0.32038834951456313,-0.049166969303945894,-0.07483307411080425,-0.023991765284422532,103
MiniLM-multi,native,spanish,ser_vs_estar,0.008928571428571428,0.0,0.026785714285714284,-0.05144185147115162,-0.06455702757728951,-0.0385858868647899,112
TF-IDF,english_pivot,hindi,formality_tv,0.0,0.0,0.0,-0.47857832058308397,-0.5275962735922626,-0.4275443537360552,96
TF-IDF,english_pivot,hindi,kinship_paternal_maternal,0.01834862385321101,0.0,0.045871559633027525,-0.36884754273806203,-0.40861750879995473,-0.329054080525576,109
TF-IDF,english_pivot,hindi,kinship_relative_age,0.35353535353535354,0.26262626262626265,0.45454545454545453,-0.09559816552421396,-0.139216521724921,-0.05189533247910792,99
TF-IDF,english_pivot,hindi,verb_gender_agreement,0.0,0.0,0.0,-0.3878354099024289,-0.5424906427925882,-0.23624155323376836,13
TF-IDF,english_pivot,spanish,formality,0.05063291139240506,0.012658227848101266,0.10126582278481013,-0.3273553426799682,-0.3851523557469448,-0.2706509994379072,79
TF-IDF,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.5096110781140758,-0.5362822504842915,-0.48078723737638557,103
TF-IDF,english_pivot,spanish,ser_vs_estar,0.29464285714285715,0.21428571428571427,0.38392857142857145,-0.025895989722782432,-0.06883068717293925,0.019025392997409137,112
TF-IDF,native,hindi,formality_tv,0.28125,0.19791666666666666,0.375,-0.11014483952961131,-0.15134203082262462,-0.06891618397588348,96
TF-IDF,native,hindi,kinship_paternal_maternal,0.1834862385321101,0.11926605504587157,0.25688073394495414,-0.16631227609638935,-0.1998351179202483,-0.1337190583965673,109
TF-IDF,native,hindi,kinship_relative_age,0.030303030303030304,0.0,0.0707070707070707,-0.2711826890572136,-0.306132735967925,-0.23721435394105353,99
TF-IDF,native,hindi,verb_gender_agreement,0.3076923076923077,0.07692307692307693,0.5384615384615384,-0.08843319906723351,-0.22109021284389402,0.052395967504772094,13
TF-IDF,native,spanish,formality,0.22784810126582278,0.13924050632911392,0.31645569620253167,-0.20689431119925286,-0.26958177871113054,-0.14369128156596134,79
TF-IDF,native,spanish,gender_agreement_adjectives,0.07766990291262135,0.02912621359223301,0.13592233009708737,-0.25519825990548667,-0.2864917528412231,-0.22177735127282913,103
TF-IDF,native,spanish,ser_vs_estar,0.05357142857142857,0.017857142857142856,0.09821428571428571,-0.13055615960795303,-0.1558916788669263,-0.1060095578915192,112
bge-m3,english_pivot,hindi,formality_tv,0.010416666666666666,0.0,0.03125,-0.08090160259356101,-0.10349493526543181,-0.05449417613757155,96
bge-m3,english_pivot,hindi,kinship_paternal_maternal,0.0,0.0,0.0,-0.02953317952812265,-0.03457670861154521,-0.024825648129533192,109
bge-m3,english_pivot,hindi,kinship_relative_age,0.7575757575757576,0.6666666666666666,0.8383838383838383,0.016642382048597238,0.01163913201202046,0.021135359039210308,99
bge-m3,english_pivot,hindi,verb_gender_agreement,0.07692307692307693,0.0,0.23076923076923078,-0.022694500593038704,-0.11786870784484423,0.0927799977935277,13
bge-m3,english_pivot,spanish,formality,0.0,0.0,0.0,-0.04932499233680435,-0.061614350408692904,-0.038177350672739974,79
bge-m3,english_pivot,spanish,gender_agreement_adjectives,0.0,0.0,0.0,-0.061765376803944415,-0.06934804579297316,-0.054356737029783934,103
bge-m3,english_pivot,spanish,ser_vs_estar,0.25892857142857145,0.17857142857142858,0.3392857142857143,0.0009581433343035835,-0.014342017578227178,0.02087566660983218,112
bge-m3,native,hindi,formality_tv,0.13541666666666666,0.07291666666666667,0.20833333333333334,-0.04867916492124399,-0.0598724295074741,-0.037698336970061065,96
bge-m3,native,hindi,kinship_paternal_maternal,0.963302752293578,0.926605504587156,0.9908256880733946,0.10037909243084969,0.09034544184393839,0.11042432830147787,109
bge-m3,native,hindi,kinship_relative_age,0.8787878787878788,0.8080808080808081,0.9393939393939394,0.02910803845434478,0.02297011005758035,0.03529274913698735,99
bge-m3,native,hindi,verb_gender_agreement,0.15384615384615385,0.0,0.38461538461538464,-0.0323824744958144,-0.05222019942907187,-0.011637225059362561,13
bge-m3,native,spanish,formality,0.379746835443038,0.26582278481012656,0.4810126582278481,-0.02459269158447845,-0.03951796789335299,-0.009606984446320356,79
bge-m3,native,spanish,gender_agreement_adjectives,0.8349514563106796,0.7572815533980582,0.9029126213592233,0.03794370982253436,0.028396743738535537,0.04712270284161983,103
bge-m3,native,spanish,ser_vs_estar,0.05357142857142857,0.017857142857142856,0.09821428571428571,-0.029798912682703564,-0.036783857883087225,-0.02291291735268065,112
